순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
85 ,보스 베이비,톰 맥그라스,,씨제이이앤엠(주),씨제이이앤엠(주),2017-05-03,개봉영화,장편,미국,"1,116 ",18918869704,"2,450,023 ",4724943504,"582,820 ",애니메이션,전체관람가,상업영화
86 ,재심,김태윤,(주)이디오플랜,,"오퍼스픽쳐스,CGV아트하우스",2017-02-15,개봉영화,장편,한국,935 ,19263100637,"2,420,729 ",4569982837,"555,767 ",드라마,15세이상관람가,상업영화
87 ,박열,이준익,(유)박열문화전문회사,,메가박스중앙(주)플러스엠,2017-06-28,개봉영화,장편,한국,"1,176 ",18093543795,"2,359,174 ",4921077395,"623,230 ",드라마,12세이상관람가,상업영화
88 ,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665 ,18396836358,"2,315,882 ",5393002858,"648,385 ",액션,15세이상관람가,상업영화
89 ,모아나,"론 클레멘츠,존 머스커",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-01-12,개봉영화,장편,미국,953 ,18055062307,"2,310,054 ",4735422707,"572,295 ",애니메이션,전체관람가,상업영화
90 ,배트맨 대 슈퍼맨: 저스티스의 시작,잭 스나이더,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-03-24,개봉영화,장편,미국,"1,709 ",18906246428,"2,256,913 ",5864824079,"663,637 ",액션,12세이상관람가,상업영화
91 ,악의 연대기,백운학,(주)비에이엔터테인먼트,,씨제이이앤엠(주),2015-05-14,개봉영화,장편,한국,776 ,17360123332,"2,192,243 ",4131865932,"498,114 ",스릴러,15세이상관람가,상업영화
92 ,강남 1970,유하,"(주)모베라픽처스,(주)쇼박스",,(주)쇼박스,2015-01-21,개봉영화,장편,한국,841 ,17717971499,"2,192,172 ",4859661899,"586,992 ",액션,청소년관람불가,상업영화
93 ,원더 우먼,팻티 젠킨스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-31,개봉영화,장편,미국,"1,034 ",17468588886,"2,165,401 ",5360314986,"639,541 ",액션,12세이상관람가,상업영화
94 ,겟 아웃,조던 필레,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-05-17,개봉영화,장편,미국,945 ,17431570075,"2,138,146 ",5334272375,"630,367 ",공포(호러),15세이상관람가,상업영화
95 ,굿바이 싱글,김태곤,"호두앤유 엔터테인먼트(주),(주)영화사람",,(주)쇼박스,2016-06-29,개봉영화,장편,한국,841 ,16912706195,"2,108,273 ",4380827515,"527,830 ",코미디,15세이상관람가,상업영화
96 ,내부자들: 디 오리지널,우민호,(유)내부자들 문화전문회사,,(주)쇼박스,2015-12-31,개봉영화,장편,한국,838 ,16973885275,"2,083,999 ",4701340971,"564,863 ",범죄,청소년관람불가,상업영화
97 ,로건,제임스 맨골드,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-03-01,개봉영화,장편,미국,954 ,17590962723,"2,070,084 ",5779445923,"655,286 ",액션,청소년관람불가,상업영화
98 ,뷰티 인사이드,백,(주)용필름,,(주)넥스트엔터테인먼트월드(NEW),2015-08-20,개봉영화,장편,한국,648 ,16152717131,"2,053,947 ",5031538031,"611,979 ",판타지,12세이상관람가,상업영화
99 ,혹성탈출: 종의 전쟁,맷 리브스,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-08-15,개봉영화,장편,미국,"1,017 ",16851234778,"2,050,909 ",4721118278,"538,479 ",액션,12세이상관람가,상업영화
100 ,봉이 김선달,박대민,"(주)엠픽처스,(주)에스엔케이픽처스",,씨제이이앤엠(주),2016-07-06,개봉영화,장편,한국,942 ,16172133642,"2,044,564 ",3545320462,"432,216 ",사극,12세이상관람가,상업영화
