score,review,time,released
score,review,time,released
10,루니마라만큼은 아니었지만 잼씀,2018.11.30 14:48,True
8,"핀처 만큼은 아니지만 충분히 즐길 만한 스릴러, 액션 오락영화^^",2018.11.30 09:57,True
10,밀레니엄 시리즈 챙겨봐야겠다. 되게 재밌었고 주인공 연기 좋았음.,2018.11.30 09:48,True
10,관람객끝까지 긴장감있는 전개가 좋앜ㅅ어요영상미가 정말 아름다웠구요...전혀 모르고 본건데 잘 봤습니다,2018.11.30 04:52,True
9,기대안했는대 초반부터 지루할틈없이 재미짐 다른시리즈도 찾아볼 생각입니다 개봉관이 많이없어서 아쉽 서치처럼 나중에 터질뜻 보고나서 느낌옴,2018.11.30 04:27,True
6,예고편에서 보신 '왜 거미는 거미줄에 걸리지 않을까' 라는 장면은 짤려서 나오지 않습니다.,2018.11.29 23:02,True
10,"리스베트와 카밀라의 이야기, 액션신 등이 조금 부족한 감이 있었다. 그럼에도 너무 재밌게 봤고 한번 더보고 싶지만 상영관이 없는게 문제다. 몇번을 봐도 후회하지 않을 진짜 인생영화다. 진짜 재밌으니 상영관이나 더 늘려줘라",2018.12.03 01:12,True
10,스웨덴 밀레니엄 시리즈 영화로 '여자를 증오한 남자들'을 재미있게 봤었다 그때 리베스트를 너무 좋아했는데 다른 리베스트를 만나게 되서 기뻤다. 상영극장이 없어서 어렵게 봤지만 재미있게 봤다,2018.12.03 00:29,True
7,여주 걸크러쉬 쩔고 화려한 액션은 아니지만 나름만족한 영화 ㅎ,2018.12.02 22:10,True
7,전작과 주인공들이 바뀐 것 말고는 깔 게 별로 없다.,2018.12.02 22:00,True
8,"관람객영상과 색감, 주인공 눈빛 인상적이네요",2018.12.02 21:56,True
10,관람객긴장감 있는 몰입감과 만족을 준 작품~다시 보고 싶은 영화다,2018.12.02 21:03,True
10,주인공의 상여자 퍼포먼스,2018.12.02 20:05,True
10,관람객여주인공이 멋있었습니다,2018.12.02 19:48,True
10,관람객북유럽의 어두운 배경! 겨울 그리고 걸맞는 스토리들... 원작을 잘 보여준 수작!,2018.12.02 16:08,True
8,관람객볼만은 한데 액션과 스토리 모두 2%씩 부족한 느낌,2018.12.02 14:25,True
10,북유럽 감성 스릴러 최고임,2018.12.02 12:52,True
10,이건 진짜네. 와 긴박감 재미,2018.12.02 12:39,True
9,진심 너무 재미있게 봤다. 작은듯하면서 큰 그런 스케일?..글로는 설명이 힘들다.,2018.12.02 12:26,True
8,관람객여성사이다 액션영화 허리웃 액션영화보다 감성적이다,2018.12.02 12:04,True
10,관람객상영관ㅇ ㅣ 뱔로 없는게 안타까울 정도예요,2018.12.02 11:41,True
6,"관람객조금 아쉬운 영화다.리스베트도 아쉽다.데이빗 핀처의 밀레니엄2 를 보고 싶다.밀레니엄 1은 배우,음악, 연출 최고였다.",2018.12.02 05:47,True
10,졸잼! 리스베트 연기 너무 잘함.,2018.12.02 01:14,True
10,몰입도 높은 영화인데 벌써 끝나다니...,2018.12.02 00:40,True
8,관람객매력적이나 전작만큼은 아닌,2018.12.01 11:02,True
10,연기 너무 잘해요 주인공에게 반했던 영화 입니다,2018.12.01 10:45,True
10,성난염소(황소)보고 스트레스 받았는데 이걸 보고 스트레스 풀었음..완전 꿀잼.. 상영관좀 늘리지...이런 영화를 찬밥 취급 하다니...ㅠ,2018.12.01 09:51,True
10,다음편은 또 몇년을 기다려야하나요 액션 시지 제대로 제작자가 돈을쓰면 이런영화가 나오져 지립니다,2018.12.01 08:03,True
10,존잼 꿀잼 개잼ㅎㅎ 나도 검은 가죽쟈켓이랑 무광블랙 람보르기니랑 두가티 모터사이클 사고 싶다ㅎㅎ,2018.12.01 03:11,True
9,관람객딸하구 간만에 영화봤는데 아주재미있게 봤네요,2018.11.30 15:41,True
10,영화보고 투블럭 하러 갑니다.,2018.11.30 10:12,True
6,너무 불친절한 영화 전작을 봤으면 더 재밌게 봤을듯,2018.11.29 19:58,True
10,특유의 암울한 분위기 속에서 우수에 차있는 매력적인 주인공이 정의구현하는 영화. 액션도 너무 좋았음,2018.11.29 16:50,True
10,나름 영상 퀄리티도 괜찮고 재밌게 봤다.이번 영화가 4부작이라는데 전작도 한번찾아서 봤야겠다.,2018.11.29 15:46,True
6,"액션은 디테일, 스토리는 단순.",2018.12.02 12:52,True
7,관람객액션이 아쉽고 그냥 범죄영화 6~7점정도,2018.12.01 20:28,True
10,배역은 바꼈지만 스웨덴판 오리지널 1&2&3편을 모른다면 재미는 반감 될 것이다.역시 클레어 포이는 리스베트를 누미 라파스 못지 않게 해냈다.리스베트는 최고의 여전사다.,2018.11.30 17:48,True
9,거의 두시간짜리 영화였지만 소설원작이라 그런지 스토리가 탄탄해 전혀 지루하지 않았다. 북유럽배경 느낌의 차가운 스크린도 좋았다. 9점안아까운 영화,2018.11.30 06:57,True
