Rank,Title,Studio, Total Gross ,Theaters,Opening,Theaters.1,Open,Close,link,genre
159,Joy,Fox,56451232,"2,924","$17,015,168","2,896",12-25,3-17,/movies/?id=joy.htm,Comedy / Drama
160,Me Before You,WB (NL),56245075,"2,762","$18,723,269","2,704",6-3,8-18,/movies/?id=mebeforeyou.htm,Romance
161,Fantastic Four,Fox,56117548,"4,004","$25,685,737","3,995",8-7,10-22,/movies/?id=fantasticfour15.htm,Action / Adventure
162,Happy Death Day,Uni.,55683845,"3,535","$26,039,025","3,149",10-13,12-14,/movies/?id=blumhousehorror2018.htm,Horror
163,The BFG,BV,55483770,"3,392","$18,775,350","3,357",7-1,10-13,/movies/?id=bfg.htm,Adventure
164,Neighbors 2: Sorority Rising,Uni.,55455765,"3,416","$21,760,405","3,384",5-20,7-14,/movies/?id=universalcomedy2016.htm,Comedy
165,The Shallows,Sony,55124043,"2,962","$16,800,868","2,962",6-24,9-29,/movies/?id=theshallows.htm,Horror
166,Office Christmas Party,Par.,54767494,"3,210","$16,890,204","3,210",12-9,1-26,/movies/?id=officechristmasparty.htm,Comedy
167,Assassin's Creed,Fox,54647948,"2,996","$10,278,225","2,970",12-21,3-9,/movies/?id=assassinscreed.htm,Action
168,"Three Billboards Outside Ebbing, Missouri",FoxS,54513740,"1,726","$322,168",4,11-10,5-3,/movies/?id=threebillboards.htm,Crime Comedy
169,The Hateful Eight,Wein.,54117416,"2,938","$4,610,676",100,12-25,4-28,/movies/?id=thehatefuleight.htm,Western
170,Barbershop: The Next Cut,WB (NL),54030051,"2,676","$20,242,415","2,661",4-15,7-14,/movies/?id=barbershop3.htm,Comedy
171,Focus (2015),WB,53862963,"3,323","$18,685,137","3,323",2-27,5-7,/movies/?id=focus2015.htm,Comedy
172,13 Hours: The Secret Soldiers of Benghazi,Par.,52853219,"2,917","$16,194,738","2,389",1-15,3-24,/movies/?id=13hoursthesecretsoldiersofbenghazi.htm,Drama
173,Southpaw,Wein.,52421953,"2,772","$16,701,294","2,772",7-24,11-5,/movies/?id=southpaw2015.htm,Drama
174,Insidious Chapter 3,Focus,52218558,"3,014","$22,692,741","3,002",6-5,8-13,/movies/?id=insidiouschapter3.htm,Horror
175,Lion,Wein.,51738905,"1,802","$123,360",4,11-25,5-11,/movies/?id=lion.htm,Drama
176,Atomic Blonde,Focus,51687870,"3,326","$18,286,420","3,304",7-28,10-5,/movies/?id=thecoldestcity.htm,Thriller
177,American Made,Uni.,51342000,"3,098","$16,776,390","3,024",9-29,12-14,/movies/?id=mena.htm,Crime Thriller
178,The Dark Tower,Sony,50701325,"3,451","$19,153,698","3,451",8-4,10-19,/movies/?id=darktower.htm,Fantasy
179,Lady Bird,A24,48958273,"1,557","$364,437",4,11-3,4-5,/movies/?id=ladybird.htm,Comedy / Drama
180,The Huntsman: Winter's War,Uni.,48390190,"3,802","$19,445,035","3,791",4-22,8-4,/movies/?id=huntsman.htm,Action / Adventure
181,Kubo and the Two Strings,Focus,48023088,"3,279","$12,608,372","3,260",8-19,12-1,/movies/?id=kuboandthetwostrings.htm,Animation
182,Manchester by the Sea,RAtt.,47695371,"1,213","$256,498",4,11-18,4-27,/movies/?id=manchesterbythesea.htm,Drama
183,Poltergeist (2015),Fox,47425125,"3,242","$22,620,386","3,240",5-22,8-6,/movies/?id=poltergeist2015.htm,Horror
184,Jupiter Ascending,WB,47387723,"3,181","$18,372,372","3,181",2-6,5-7,/movies/?id=jupiterascending.htm,Sci-Fi
185,Warcraft,Uni.,47365290,"3,406","$24,166,110","3,400",6-10,9-8,/movies/?id=warcraft.htm,Fantasy
186,Tyler Perry's Boo 2! A Madea Halloween,LGF,47319572,"2,388","$21,226,953","2,388",10-20,12-14,/movies/?id=amadeahalloween2.htm,Comedy
187,Sicario,LGF,46889293,"2,620","$401,288",6,9-18,1-14,/movies/?id=sicario.htm,Action Drama
188,How to Be Single,WB (NL),46843513,"3,357","$17,878,911","3,343",2-12,4-14,/movies/?id=howtobesingle.htm,Romantic Comedy
189,Mike and Dave Need Wedding Dates,Fox,46009673,"3,008","$16,628,170","2,982",7-8,10-13,/movies/?id=mikeanddave.htm,Comedy
190,Snatched,Fox,45852178,"3,511","$19,542,248","3,501",5-12,8-3,/movies/?id=motherdaughter.htm,Comedy
191,The Great Wall,Uni.,45540830,"3,328","$18,469,620","3,326",2-17,6-1,/movies/?id=greatwall.htm,Action
192,The Man From U.N.C.L.E.,WB,45445109,"3,673","$13,421,036","3,638",8-14,10-22,/movies/?id=uncle.htm,Action
193,Spotlight,ORF,45055776,"1,227","$295,009",5,11-6,5-5,/movies/?id=spotlight.htm,Drama
194,Smurfs: The Lost Village,Sony,45020282,"3,610","$13,210,449","3,610",4-7,8-3,/movies/?id=smurfs3.htm,Animation
195,Going in Style (2017),WB (NL),45018541,"3,076","$11,932,330","3,061",4-7,7-13,/movies/?id=goinginsty2017.htm,Comedy
196,All Eyez on Me,LG/S,44922302,"2,471","$26,435,354","2,471",6-16,8-3,/movies/?id=tupac.htm,Drama
197,xXx: The Return of Xander Cage,Par.,44898413,"3,651","$20,130,142","3,651",1-20,3-16,/movies/?id=xxx3.htm,Action / Adventure
198,"McFarland, USA",BV,44482410,"2,792","$11,020,798","2,755",2-20,7-9,/movies/?id=mcfarland.htm,Sports Drama
199,47 Meters Down,ENTMP,44307192,"2,471","$11,205,561","2,270",6-16,10-19,/movies/?id=47metersdown.htm,Horror Thriller
200,The Gift (2015),STX,43787265,"2,503","$11,854,273","2,503",8-7,10-9,/movies/?id=blumhousejuly2015.htm,Thriller
201,Everest (2015),Uni.,43482270,"3,009","$7,222,035",545,9-18,11-26,/movies/?id=everest2015.htm,Thriller
202,The Night Before,Sony,43047372,"2,960","$9,880,536","2,960",11-20,1-14,/movies/?id=xmas2015.htm,Comedy
203,War Dogs,WB,43034523,"3,258","$14,685,305","3,258",8-19,10-20,/movies/?id=armsandthedudes.htm,Comedy / Drama
204,The Big Sick,LGF,42873127,"2,597","$421,577",5,6-23,10-22,/movies/?id=thebigsick.htm,Romantic Comedy
205,Krampus,Uni.,42725475,"2,919","$16,293,325","2,902",12-4,1-21,/movies/?id=krampus.htm,Horror Comedy
206,Max (2015),WB,42656255,"2,870","$12,155,254","2,855",6-26,10-15,/movies/?id=max2015.htm,Family
207,The Age of Adaline,LGF,42629776,"3,070","$13,203,458","2,991",4-24,7-9,/movies/?id=ageofadaline.htm,Drama
208,Almost Christmas,Uni.,42158780,"2,379","$15,134,235","2,376",11-11,1-12,/movies/?id=ameyerschristmas.htm,Comedy
209,Valerian and the City of a Thousand Planets,STX,41189488,"3,553","$17,007,624","3,553",7-21,9-21,/movies/?id=valerian.htm,Sci-Fi
210,Money Monster,TriS,41012075,"3,104","$14,788,157","3,104",5-13,8-4,/movies/?id=moneymonster.htm,Drama / Thriller
211,The Star,Sony,40852824,"2,976","$9,812,674","2,837",11-17,2-15,/movies/?id=thelamb.htm,Animation
